Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,CNY/MYR
2024-06-01,0.649458
2024-05-31,0.648800
2024-05-30,0.648916
2024-05-29,0.648379
2024-05-28,0.647275
2024-05-27,0.648386
2024-05-26,0.649370
2024-05-25,0.649360
2024-05-24,0.650051
2024-05-23,0.649266
2024-05-22,0.653212
2024-05-21,0.653198
2024-05-20,0.647246
2024-05-19,0.648266
2024-05-18,0.648253
2024-05-17,0.648093
2024-05-16,0.648795
2024-05-15,0.651094
2024-05-14,0.652307
2024-05-13,0.654181
2024-05-12,0.655157
2024-05-11,0.655158
2024-05-10,0.655275
2024-05-09,0.655775
2024-05-08,0.655920
2024-05-07,0.655895
2024-05-06,0.655637
2024-05-05,0.654379
2024-05-04,0.654373
2024-05-03,0.654326
2024-05-02,0.656678
2024-05-01,0.657936
2024-04-30,0.658078
2024-04-29,0.658162
2024-04-28,0.657308
2024-04-27,0.657291
2024-04-26,0.657776
2024-04-25,0.659228
2024-04-24,0.658763
2024-04-23,0.658983
2024-04-22,0.659437
2024-04-21,0.659573
2024-04-20,0.659563
2024-04-19,0.659838
2024-04-18,0.659720
2024-04-17,0.661210
2024-04-16,0.661208
2024-04-15,0.659563
2024-04-14,0.658508
2024-04-13,0.658494
2024-04-12,0.658378
2024-04-11,0.655515
2024-04-10,0.655837
2024-04-09,0.656099
2024-04-08,0.656745
2024-04-07,0.655816
2024-04-06,0.655803
2024-04-05,0.655574
2024-04-04,0.654557
2024-04-03,0.656576
2024-04-02,0.656517
2024-04-01,0.653375
2024-03-31,0.653549
2024-03-30,0.653543
2024-03-29,0.653644
2024-03-28,0.654227
2024-03-27,0.653939
2024-03-26,0.653432
2024-03-25,0.655203
2024-03-24,0.654693
2024-03-23,0.654693
2024-03-22,0.654964
2024-03-21,0.653901
2024-03-20,0.657671
2024-03-19,0.656554
2024-03-18,0.654802
2024-03-17,0.653156
2024-03-16,0.653151
2024-03-15,0.656158
2024-03-14,0.651075
2024-03-13,0.650855
2024-03-12,0.651134
2024-03-11,0.651411
2024-03-10,0.651813
2024-03-09,0.651819
2024-03-08,0.651673
2024-03-07,0.654221
2024-03-06,0.657076
2024-03-05,0.656962
2024-03-04,0.655966
2024-03-03,0.658947
2024-03-02,0.658951
2024-03-01,0.658552
2024-02-29,0.660275
2024-02-28,0.661545
2024-02-27,0.662421
2024-02-26,0.663253
2024-02-25,0.663317
2024-02-24,0.663313
2024-02-23,0.663426
2024-02-22,0.664325
2024-02-21,0.666686
2024-02-20,0.665652
2024-02-19,0.664994
2024-02-18,0.670822
2024-02-17,0.670817
2024-02-16,0.669478
2024-02-15,0.668368
2024-02-14,0.665371
2024-02-13,0.662149
2024-02-12,0.662624
2024-02-11,0.665500
2024-02-10,0.665495
2024-02-09,0.666338
2024-02-08,0.666259
2024-02-07,0.665364
2024-02-06,0.668542
2024-02-05,0.662873
2024-02-04,0.655491
2024-02-03,0.655319
2024-02-02,0.660047
2024-02-01,0.662908
2024-01-31,0.665082
2024-01-30,0.663886
2024-01-29,0.660335
2024-01-28,0.665277
2024-01-27,0.665296
2024-01-26,0.665297
2024-01-25,0.665944
2024-01-24,0.666554
2024-01-23,0.664201
2024-01-22,0.656817
2024-01-21,0.661291
2024-01-20,0.661296
2024-01-19,0.661394
2024-01-18,0.660980
2024-01-17,0.660045
2024-01-16,0.656173
2024-01-15,0.653905
2024-01-14,0.652162
2024-01-13,0.652162
2024-01-12,0.652337
2024-01-11,0.652046
2024-01-10,0.649465
2024-01-09,0.652212
2024-01-08,0.653113
2024-01-07,0.654258
2024-01-06,0.654258
2024-01-05,0.652730
2024-01-04,0.650546
2024-01-03,0.649710
2024-01-02,0.646401
2024-01-01,0.647862

Period Average,0.635717
Period Low,0.586625
Period High,0.670822
