Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,KHR/MYR
2024-08-24,0.00106021
2024-08-23,0.00105386
2024-08-22,0.00105370
2024-08-21,0.00105610
2024-08-20,0.00105401
2024-08-19,0.00105530
2024-08-18,0.00107176
2024-08-17,0.00107180
2024-08-16,0.00106544
2024-08-15,0.00106707
2024-08-14,0.00106768
2024-08-13,0.00106980
2024-08-12,0.00106814
2024-08-11,0.00106584
2024-08-10,0.00106578
2024-08-09,0.00106401
2024-08-08,0.00107376
2024-08-07,0.00107561
2024-08-06,0.00107118
2024-08-05,0.00105955
2024-08-04,0.00108098
2024-08-03,0.00108103
2024-08-02,0.00107816
2024-08-01,0.00109159
2024-07-31,0.00109827
2024-07-30,0.00110573
2024-07-29,0.00110953
2024-07-28,0.00111426
2024-07-27,0.00111424
2024-07-26,0.00111348
2024-07-25,0.00111236
2024-07-24,0.00111444
2024-07-23,0.00111500
2024-07-22,0.00111933
2024-07-21,0.00112772
2024-07-20,0.00112856
2024-07-19,0.00112034
2024-07-18,0.00111612
2024-07-17,0.00111771
2024-07-16,0.00111764
2024-07-15,0.00112078
2024-07-14,0.00112715
2024-07-13,0.00112711
2024-07-12,0.00112079
2024-07-11,0.00112420
2024-07-10,0.00112431
2024-07-09,0.00112300
2024-07-08,0.00112602
2024-07-07,0.00113312
2024-07-06,0.00113296
2024-07-05,0.00112696
2024-07-04,0.00112599
2024-07-03,0.00113092
2024-07-02,0.00113168
2024-07-01,0.00113003
2024-06-30,0.00112697
2024-06-29,0.00112693
2024-06-28,0.00112748
2024-06-27,0.00112934
2024-06-26,0.00112707
2024-06-25,0.00112640
2024-06-24,0.00112625
2024-06-23,0.00113077
2024-06-22,0.00113082
2024-06-21,0.00112424
2024-06-20,0.00112485
2024-06-19,0.00112590
2024-06-18,0.00113025
2024-06-17,0.00112784
2024-06-16,0.00113497
2024-06-15,0.00113618
2024-06-14,0.00112643
2024-06-13,0.00112895
2024-06-12,0.00113023
2024-06-11,0.00112635
2024-06-10,0.00111872
2024-06-09,0.00113112
2024-06-08,0.00113129
2024-06-07,0.00112675
2024-06-06,0.00112732
2024-06-05,0.00112926
2024-06-04,0.00113441
2024-06-03,0.00113284
2024-06-02,0.00114044
2024-06-01,0.00114047
2024-05-31,0.00113411
2024-05-30,0.00113284
2024-05-29,0.00113295
2024-05-28,0.00113240
2024-05-27,0.00113268
2024-05-26,0.00113415
2024-05-25,0.00113410
2024-05-24,0.00113580
2024-05-23,0.00113722
2024-05-22,0.00113463
2024-05-21,0.00113204
2024-05-20,0.00113019
2024-05-19,0.00114005
2024-05-18,0.00114005
2024-05-17,0.00113300
2024-05-16,0.00113687
2024-05-15,0.00113886
2024-05-14,0.00114257
2024-05-13,0.00114430
2024-05-12,0.00114319
2024-05-11,0.00114330
2024-05-10,0.00114503
2024-05-09,0.00114601
2024-05-08,0.00114635
2024-05-07,0.00114795
2024-05-06,0.00114759
2024-05-05,0.00115424
2024-05-04,0.00115422
2024-05-03,0.00114908
2024-05-02,0.00115238
2024-05-01,0.00115034
2024-04-30,0.00115687
2024-04-29,0.00115578
2024-04-28,0.00115289
2024-04-27,0.00115292
2024-04-26,0.00115429
2024-04-25,0.00116064
2024-04-24,0.00116036
2024-04-23,0.00115830
2024-04-22,0.00115902
2024-04-21,0.00116648
2024-04-20,0.00116648
2024-04-19,0.00116090
2024-04-18,0.00116563
2024-04-17,0.00116352
2024-04-16,0.00115998
2024-04-15,0.00115987
2024-04-14,0.00116927
2024-04-13,0.00116936
2024-04-12,0.00115827
2024-04-11,0.00114932
2024-04-10,0.00115589
2024-04-09,0.00115839
2024-04-08,0.00115470
2024-04-07,0.00116257
2024-04-06,0.00116256
2024-04-05,0.00115636
2024-04-04,0.00115941
2024-04-03,0.00116223
2024-04-02,0.00116033
2024-04-01,0.00115302
2024-03-31,0.00115803
2024-03-30,0.00115806
2024-03-29,0.00115231
2024-03-28,0.00115340
2024-03-27,0.00115161
2024-03-26,0.00115099
2024-03-25,0.00115294
2024-03-24,0.00116406
2024-03-23,0.00116439
2024-03-22,0.00115644
2024-03-21,0.00115016
2024-03-20,0.00115766
2024-03-19,0.00114769
2024-03-18,0.00114552
2024-03-17,0.00115113
2024-03-16,0.00115118
2024-03-15,0.00114670
2024-03-14,0.00114162
2024-03-13,0.00113961
2024-03-12,0.00113784
2024-03-11,0.00113997
2024-03-10,0.00114665
2024-03-09,0.00114668
2024-03-08,0.00114247
2024-03-07,0.00114380
2024-03-06,0.00114542
2024-03-05,0.00114331
2024-03-04,0.00114673
2024-03-03,0.00115647
2024-03-02,0.00115641
2024-03-01,0.00114889
2024-02-29,0.00115122
2024-02-28,0.00115097
2024-02-27,0.00115194
2024-02-26,0.00115276
2024-02-25,0.00116167
2024-02-24,0.00116170
2024-02-23,0.00115414
2024-02-22,0.00115631
2024-02-21,0.00115969
2024-02-20,0.00115280
2024-02-19,0.00115101
2024-02-18,0.00116227
2024-02-17,0.00116227
2024-02-16,0.00115797
2024-02-15,0.00115765
2024-02-14,0.00115387
2024-02-13,0.00115062
2024-02-12,0.00114754
2024-02-11,0.00115718
2024-02-10,0.00115747
2024-02-09,0.00115059
2024-02-08,0.00114732
2024-02-07,0.00114609
2024-02-06,0.00114752
2024-02-05,0.00114161
2024-02-04,0.00114541
2024-02-03,0.00114652
2024-02-02,0.00114173
2024-02-01,0.00114014
2024-01-31,0.00114073
2024-01-30,0.00113669
2024-01-29,0.00113602
2024-01-28,0.00114712
2024-01-27,0.00114712
2024-01-26,0.00113982
2024-01-25,0.00114133
2024-01-24,0.00114183
2024-01-23,0.00114139
2024-01-22,0.00113998
2024-01-21,0.00114266
2024-01-20,0.00114286
2024-01-19,0.00113844
2024-01-18,0.00113802
2024-01-17,0.00113410
2024-01-16,0.00112700
2024-01-15,0.00112186
2024-01-14,0.00112518
2024-01-13,0.00112512
2024-01-12,0.00112029
2024-01-11,0.00111923
2024-01-10,0.00111573
2024-01-09,0.00111481
2024-01-08,0.00112005
2024-01-07,0.00112542
2024-01-06,0.00112542
2024-01-05,0.00111915
2024-01-04,0.00111587
2024-01-03,0.00111401
2024-01-02,0.00110634
2024-01-01,0.00110170

Period Average,0.00110672
Period Low,0.000998066
Period High,0.00116936
