Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,MMK/MYR
2024-07-14,0.00210085
2024-07-13,0.00210353
2024-07-12,0.00210023
2024-07-11,0.00210796
2024-07-10,0.00211379
2024-07-09,0.00211650
2024-07-08,0.00211702
2024-07-07,0.00211678
2024-07-06,0.00211725
2024-07-05,0.00211684
2024-07-04,0.00211711
2024-07-03,0.00212077
2024-07-02,0.00211023
2024-07-01,0.00188296
2024-06-30,0.00187919
2024-06-29,0.00188430
2024-06-28,0.00188470
2024-06-27,0.00188524
2024-06-26,0.00188178
2024-06-25,0.00187629
2024-06-24,0.00180325
2024-06-23,0.00179793
2024-06-22,0.00180293
2024-06-21,0.00180363
2024-06-20,0.00180255
2024-06-19,0.00180013
2024-06-18,0.00204509
2024-06-17,0.00223934
2024-06-16,0.00223796
2024-06-15,0.00223791
2024-06-14,0.00220782
2024-06-13,0.00218232
2024-06-12,0.00223055
2024-06-11,0.00223597
2024-06-10,0.00223528
2024-06-09,0.00222253
2024-06-08,0.00222255
2024-06-07,0.00222296
2024-06-06,0.00221877
2024-06-05,0.00221579
2024-06-04,0.00221814
2024-06-03,0.00221838
2024-06-02,0.00221850
2024-06-01,0.00221855
2024-05-31,0.00221760
2024-05-30,0.00221472
2024-05-29,0.00221331
2024-05-28,0.00221336
2024-05-27,0.00221716
2024-05-26,0.00221894
2024-05-25,0.00221885
2024-05-24,0.00221868
2024-05-23,0.00221708
2024-05-22,0.00221141
2024-05-21,0.00221203
2024-05-20,0.00221300
2024-05-19,0.00220970
2024-05-18,0.00220946
2024-05-17,0.00220868
2024-05-16,0.00221221
2024-05-15,0.00221946
2024-05-14,0.00222675
2024-05-13,0.00223191
2024-05-12,0.00223377
2024-05-11,0.00223391
2024-05-10,0.00223590
2024-05-09,0.00223487
2024-05-08,0.00223595
2024-05-07,0.00223550
2024-05-06,0.00223685
2024-05-05,0.00223472
2024-05-04,0.00223471
2024-05-03,0.00223528
2024-05-02,0.00224343
2024-05-01,0.00224267
2024-04-30,0.00224588
2024-04-29,0.00224571
2024-04-28,0.00224852
2024-04-27,0.00224863
2024-04-26,0.00225009
2024-04-25,0.00225489
2024-04-24,0.00225570
2024-04-23,0.00225503
2024-04-22,0.00225451
2024-04-21,0.00225285
2024-04-20,0.00225285
2024-04-19,0.00225253
2024-04-18,0.00225505
2024-04-17,0.00225829
2024-04-16,0.00225632
2024-04-15,0.00225233
2024-04-14,0.00224951
2024-04-13,0.00224950
2024-04-12,0.00224860
2024-04-11,0.00223319
2024-04-10,0.00223779
2024-04-09,0.00224123
2024-04-08,0.00224037
2024-04-07,0.00223840
2024-04-06,0.00223840
2024-04-05,0.00223712
2024-04-04,0.00223815
2024-04-03,0.00224269
2024-04-02,0.00224051
2024-04-01,0.00222863
2024-03-31,0.00222594
2024-03-30,0.00222578
2024-03-29,0.00222628
2024-03-28,0.00223016
2024-03-27,0.00222823
2024-03-26,0.00222694
2024-03-25,0.00223091
2024-03-24,0.00223452
2024-03-23,0.00223452
2024-03-22,0.00223171
2024-03-21,0.00222510
2024-03-20,0.00223265
2024-03-19,0.00222575
2024-03-18,0.00222161
2024-03-17,0.00221702
2024-03-16,0.00221698
2024-03-15,0.00222435
2024-03-14,0.00220969
2024-03-13,0.00220773
2024-03-12,0.00220632
2024-03-11,0.00220992
2024-03-10,0.00221029
2024-03-09,0.00221034
2024-03-08,0.00221564
2024-03-07,0.00222426
2024-03-06,0.00223107
2024-03-05,0.00223040
2024-03-04,0.00222982
2024-03-03,0.00223779
2024-03-02,0.00223770
2024-03-01,0.00223501
2024-02-29,0.00224097
2024-02-28,0.00224577
2024-02-27,0.00224921
2024-02-26,0.00225086
2024-02-25,0.00225122
2024-02-24,0.00225118
2024-02-23,0.00224979
2024-02-22,0.00225535
2024-02-21,0.00226146
2024-02-20,0.00225803
2024-02-19,0.00225570
2024-02-18,0.00225304
2024-02-17,0.00225305
2024-02-16,0.00225501
2024-02-15,0.00225574
2024-02-14,0.00225156
2024-02-13,0.00224666
2024-02-12,0.00224859
2024-02-11,0.00224570
2024-02-10,0.00224565
2024-02-09,0.00224408
2024-02-08,0.00223831
2024-02-07,0.00223326
2024-02-06,0.00224081
2024-02-05,0.00222544
2024-02-04,0.00222201
2024-02-03,0.00222305
2024-02-02,0.00222816
2024-02-01,0.00222760
2024-01-31,0.00222973
2024-01-30,0.00222947
2024-01-29,0.00222848
2024-01-28,0.00222814
2024-01-27,0.00222818
2024-01-26,0.00222523
2024-01-25,0.00222842
2024-01-24,0.00223058
2024-01-23,0.00223016
2024-01-22,0.00222900
2024-01-21,0.00222133
2024-01-20,0.00222120
2024-01-19,0.00222238
2024-01-18,0.00222484
2024-01-17,0.00222189
2024-01-16,0.00220639
2024-01-15,0.00219982
2024-01-14,0.00219205
2024-01-13,0.00219203
2024-01-12,0.00219088
2024-01-11,0.00219182
2024-01-10,0.00219104
2024-01-09,0.00219263
2024-01-08,0.00219650
2024-01-07,0.00219418
2024-01-06,0.00219418
2024-01-05,0.00219097
2024-01-04,0.00218503
2024-01-03,0.00217912
2024-01-02,0.00216655
2024-01-01,0.00216202

Period Average,0.00213846
Period Low,0.00179793
Period High,0.00226146
