Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,KRW/MYR
2024-09-11,0.00322882
2024-09-10,0.00323420
2024-09-09,0.00324817
2024-09-08,0.00322988
2024-09-07,0.00322981
2024-09-06,0.00324534
2024-09-05,0.00324476
2024-09-04,0.00324642
2024-09-03,0.00325542
2024-09-02,0.00324411
2024-09-01,0.00322504
2024-08-31,0.00322497
2024-08-30,0.00322928
2024-08-29,0.00323386
2024-08-28,0.00324797
2024-08-27,0.00326673
2024-08-26,0.00327844
2024-08-25,0.00329772
2024-08-24,0.00329775
2024-08-23,0.00327939
2024-08-22,0.00326605
2024-08-21,0.00327481
2024-08-20,0.00328029
2024-08-19,0.00327497
2024-08-18,0.00327876
2024-08-17,0.00327904
2024-08-16,0.00326922
2024-08-15,0.00325314
2024-08-14,0.00325316
2024-08-13,0.00324973
2024-08-12,0.00324329
2024-08-11,0.00322248
2024-08-10,0.00322219
2024-08-09,0.00324138
2024-08-08,0.00324705
2024-08-07,0.00326276
2024-08-06,0.00324595
2024-08-05,0.00323763
2024-08-04,0.00330606
2024-08-03,0.00330588
2024-08-02,0.00330030
2024-08-01,0.00333612
2024-07-31,0.00334444
2024-07-30,0.00333784
2024-07-29,0.00335231
2024-07-28,0.00335855
2024-07-27,0.00335861
2024-07-26,0.00335941
2024-07-25,0.00337006
2024-07-24,0.00337460
2024-07-23,0.00336937
2024-07-22,0.00337052
2024-07-21,0.00336762
2024-07-20,0.00336749
2024-07-19,0.00336856
2024-07-18,0.00337131
2024-07-17,0.00337882
2024-07-16,0.00337405
2024-07-15,0.00337485
2024-07-14,0.00339506
2024-07-13,0.00339552
2024-07-12,0.00339148
2024-07-11,0.00340381
2024-07-10,0.00339294
2024-07-09,0.00340007
2024-07-08,0.00340390
2024-07-07,0.00341536
2024-07-06,0.00341543
2024-07-05,0.00341017
2024-07-04,0.00340668
2024-07-03,0.00339561
2024-07-02,0.00339787
2024-07-01,0.00340690
2024-06-30,0.00341100
2024-06-29,0.00341099
2024-06-28,0.00341506
2024-06-27,0.00339868
2024-06-26,0.00338145
2024-06-25,0.00338247
2024-06-24,0.00339140
2024-06-23,0.00338673
2024-06-22,0.00338671
2024-06-21,0.00338803
2024-06-20,0.00338987
2024-06-19,0.00340416
2024-06-18,0.00340930
2024-06-17,0.00341442
2024-06-16,0.00340545
2024-06-15,0.00340540
2024-06-14,0.00340740
2024-06-13,0.00342201
2024-06-12,0.00343344
2024-06-11,0.00342052
2024-06-10,0.00342560
2024-06-09,0.00339538
2024-06-08,0.00339574
2024-06-07,0.00341518
2024-06-06,0.00343339
2024-06-05,0.00342303
2024-06-04,0.00341356
2024-06-03,0.00341777
2024-06-02,0.00339914
2024-06-01,0.00339925
2024-05-31,0.00339858
2024-05-30,0.00341642
2024-05-29,0.00343476
2024-05-28,0.00344690
2024-05-27,0.00344438
2024-05-26,0.00343603
2024-05-25,0.00343591
2024-05-24,0.00344052
2024-05-23,0.00344336
2024-05-22,0.00343312
2024-05-21,0.00343652
2024-05-20,0.00344335
2024-05-19,0.00345741
2024-05-18,0.00345784
2024-05-17,0.00345339
2024-05-16,0.00347417
2024-05-15,0.00346292
2024-05-14,0.00345150
2024-05-13,0.00345904
2024-05-12,0.00345044
2024-05-11,0.00345041
2024-05-10,0.00345851
2024-05-09,0.00346252
2024-05-08,0.00347234
2024-05-07,0.00348431
2024-05-06,0.00348955
2024-05-05,0.00349026
2024-05-04,0.00348970
2024-05-03,0.00348299
2024-05-02,0.00346143
2024-05-01,0.00344023
2024-04-30,0.00344709
2024-04-29,0.00346077
2024-04-28,0.00345432
2024-04-27,0.00345434
2024-04-26,0.00346187
2024-04-25,0.00347329
2024-04-24,0.00347313
2024-04-23,0.00346924
2024-04-22,0.00346148
2024-04-21,0.00347249
2024-04-20,0.00347253
2024-04-19,0.00346185
2024-04-18,0.00346686
2024-04-17,0.00345936
2024-04-16,0.00343349
2024-04-15,0.00344401
2024-04-14,0.00345046
2024-04-13,0.00345046
2024-04-12,0.00345461
2024-04-11,0.00346941
2024-04-10,0.00349595
2024-04-09,0.00350554
2024-04-08,0.00350553
2024-04-07,0.00350983
2024-04-06,0.00350985
2024-04-05,0.00350651
2024-04-04,0.00351373
2024-04-03,0.00352168
2024-04-02,0.00351147
2024-04-01,0.00349487
2024-03-31,0.00350056
2024-03-30,0.00350045
2024-03-29,0.00350431
2024-03-28,0.00350472
2024-03-27,0.00350260
2024-03-26,0.00351514
2024-03-25,0.00352122
2024-03-24,0.00351641
2024-03-23,0.00351642
2024-03-22,0.00352578
2024-03-21,0.00354005
2024-03-20,0.00353900
2024-03-19,0.00353115
2024-03-18,0.00353025
2024-03-17,0.00353034
2024-03-16,0.00353006
2024-03-15,0.00354869
2024-03-14,0.00354726
2024-03-13,0.00355985
2024-03-12,0.00356428
2024-03-11,0.00356580
2024-03-10,0.00355268
2024-03-09,0.00355247
2024-03-08,0.00355040
2024-03-07,0.00354492
2024-03-06,0.00354671
2024-03-05,0.00354143
2024-03-04,0.00354549
2024-03-03,0.00355691
2024-03-02,0.00355683
2024-03-01,0.00355036
2024-02-29,0.00355614
2024-02-28,0.00356397
2024-02-27,0.00357975
2024-02-26,0.00358337
2024-02-25,0.00358403
2024-02-24,0.00358404
2024-02-23,0.00358693
2024-02-22,0.00359579
2024-02-21,0.00358966
2024-02-20,0.00358507
2024-02-19,0.00358122
2024-02-18,0.00358164
2024-02-17,0.00358160
2024-02-16,0.00358018
2024-02-15,0.00358620
2024-02-14,0.00358114
2024-02-13,0.00356804
2024-02-12,0.00357896
2024-02-11,0.00357108
2024-02-10,0.00357105
2024-02-09,0.00356880
2024-02-08,0.00356620
2024-02-07,0.00356796
2024-02-06,0.00357993
2024-02-05,0.00355763
2024-02-04,0.00351538
2024-02-03,0.00351560
2024-02-02,0.00354490
2024-02-01,0.00354660
2024-01-31,0.00354354
2024-01-30,0.00355101
2024-01-29,0.00354010
2024-01-28,0.00353134
2024-01-27,0.00353132
2024-01-26,0.00353552
2024-01-25,0.00353601
2024-01-24,0.00354115
2024-01-23,0.00353129
2024-01-22,0.00352575
2024-01-21,0.00352904
2024-01-20,0.00352921
2024-01-19,0.00352764
2024-01-18,0.00351680
2024-01-17,0.00350147
2024-01-16,0.00350360
2024-01-15,0.00352701
2024-01-14,0.00353337
2024-01-13,0.00353346
2024-01-12,0.00353405
2024-01-11,0.00352393
2024-01-10,0.00351615
2024-01-09,0.00352127
2024-01-08,0.00353149
2024-01-07,0.00353377
2024-01-06,0.00353392
2024-01-05,0.00353071
2024-01-04,0.00353143
2024-01-03,0.00352656
2024-01-02,0.00351734
2024-01-01,0.00354470

Period Average,0.00335177
Period Low,0.00302581
Period High,0.00359579
