Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,PKR/MYR
2024-10-03,0.0151548
2024-10-02,0.0149689
2024-10-01,0.0149260
2024-09-30,0.0147896
2024-09-29,0.0148344
2024-09-28,0.0148358
2024-09-27,0.0148141
2024-09-26,0.0148284
2024-09-25,0.0148392
2024-09-24,0.0149550
2024-09-23,0.0150906
2024-09-22,0.0150402
2024-09-21,0.0150400
2024-09-20,0.0150403
2024-09-19,0.0151321
2024-09-18,0.0152209
2024-09-17,0.0152939
2024-09-16,0.0154163
2024-09-15,0.0154203
2024-09-14,0.0154212
2024-09-13,0.0154579
2024-09-12,0.0154988
2024-09-11,0.0154880
2024-09-10,0.0155618
2024-09-09,0.0156076
2024-09-08,0.0155081
2024-09-07,0.0155085
2024-09-06,0.0155003
2024-09-05,0.0155282
2024-09-04,0.0155694
2024-09-03,0.0156301
2024-09-02,0.0155432
2024-09-01,0.0154842
2024-08-31,0.0154853
2024-08-30,0.0154471
2024-08-29,0.0154511
2024-08-28,0.0155521
2024-08-27,0.0155795
2024-08-26,0.0156197
2024-08-25,0.0156821
2024-08-24,0.0156805
2024-08-23,0.0156566
2024-08-22,0.0156616
2024-08-21,0.0156883
2024-08-20,0.0156864
2024-08-19,0.0156915
2024-08-18,0.0158867
2024-08-17,0.0158885
2024-08-16,0.0158569
2024-08-15,0.0158491
2024-08-14,0.0158723
2024-08-13,0.0159213
2024-08-12,0.0159059
2024-08-11,0.0158231
2024-08-10,0.0158232
2024-08-09,0.0158634
2024-08-08,0.0160089
2024-08-07,0.0160738
2024-08-06,0.0159909
2024-08-05,0.0158725
2024-08-04,0.0161077
2024-08-03,0.0161075
2024-08-02,0.0161440
2024-08-01,0.0163354
2024-07-31,0.0164492
2024-07-30,0.0165694
2024-07-29,0.0166048
2024-07-28,0.0166514
2024-07-27,0.0166511
2024-07-26,0.0166783
2024-07-25,0.0167075
2024-07-24,0.0167257
2024-07-23,0.0167307
2024-07-22,0.0167917
2024-07-21,0.0168139
2024-07-20,0.0168190
2024-07-19,0.0167641
2024-07-18,0.0167047
2024-07-17,0.0167036
2024-07-16,0.0167317
2024-07-15,0.0167408
2024-07-14,0.0167809
2024-07-13,0.0167823
2024-07-12,0.0167393
2024-07-11,0.0167918
2024-07-10,0.0168299
2024-07-09,0.0168502
2024-07-08,0.0168591
2024-07-07,0.0168889
2024-07-06,0.0168907
2024-07-05,0.0168660
2024-07-04,0.0168683
2024-07-03,0.0169000
2024-07-02,0.0168760
2024-07-01,0.0168887
2024-06-30,0.0168939
2024-06-29,0.0168948
2024-06-28,0.0168937
2024-06-27,0.0168732
2024-06-26,0.0168611
2024-06-25,0.0168526
2024-06-24,0.0168646
2024-06-23,0.0168903
2024-06-22,0.0168909
2024-06-21,0.0168538
2024-06-20,0.0168584
2024-06-19,0.0168488
2024-06-18,0.0168904
2024-06-17,0.0168909
2024-06-16,0.0169056
2024-06-15,0.0169097
2024-06-14,0.0168550
2024-06-13,0.0168673
2024-06-12,0.0168899
2024-06-11,0.0169128
2024-06-10,0.0168299
2024-06-09,0.0168253
2024-06-08,0.0168280
2024-06-07,0.0168070
2024-06-06,0.0168065
2024-06-05,0.0168343
2024-06-04,0.0168560
2024-06-03,0.0168526
2024-06-02,0.0168833
2024-06-01,0.0168842
2024-05-31,0.0168581
2024-05-30,0.0168318
2024-05-29,0.0168202
2024-05-28,0.0168080
2024-05-27,0.0168310
2024-05-26,0.0168500
2024-05-25,0.0168495
2024-05-24,0.0168556
2024-05-23,0.0168451
2024-05-22,0.0168031
2024-05-21,0.0168012
2024-05-20,0.0167866
2024-05-19,0.0168053
2024-05-18,0.0168053
2024-05-17,0.0167909
2024-05-16,0.0168118
2024-05-15,0.0168760
2024-05-14,0.0169333
2024-05-13,0.0169592
2024-05-12,0.0169817
2024-05-11,0.0169845
2024-05-10,0.0169916
2024-05-09,0.0169847
2024-05-08,0.0169880
2024-05-07,0.0169828
2024-05-06,0.0169922
2024-05-05,0.0169955
2024-05-04,0.0169955
2024-05-03,0.0169888
2024-05-02,0.0170555
2024-05-01,0.0169995
2024-04-30,0.0170820
2024-04-29,0.0170731
2024-04-28,0.0170693
2024-04-27,0.0170709
2024-04-26,0.0170778
2024-04-25,0.0171174
2024-04-24,0.0171247
2024-04-23,0.0171171
2024-04-22,0.0171172
2024-04-21,0.0170965
2024-04-20,0.0170965
2024-04-19,0.0170872
2024-04-18,0.0171257
2024-04-17,0.0171567
2024-04-16,0.0171335
2024-04-15,0.0171458
2024-04-14,0.0171402
2024-04-13,0.0171400
2024-04-12,0.0170732
2024-04-11,0.0169830
2024-04-10,0.0170177
2024-04-09,0.0170495
2024-04-08,0.0170441
2024-04-07,0.0170546
2024-04-06,0.0170545
2024-04-05,0.0170282
2024-04-04,0.0170335
2024-04-03,0.0170674
2024-04-02,0.0170632
2024-04-01,0.0169638
2024-03-31,0.0169780
2024-03-30,0.0169780
2024-03-29,0.0169499
2024-03-28,0.0169810
2024-03-27,0.0169612
2024-03-26,0.0169358
2024-03-25,0.0169386
2024-03-24,0.0170042
2024-03-23,0.0170056
2024-03-22,0.0169586
2024-03-21,0.0169027
2024-03-20,0.0169828
2024-03-19,0.0169109
2024-03-18,0.0168490
2024-03-17,0.0168462
2024-03-16,0.0168504
2024-03-15,0.0168971
2024-03-14,0.0168137
2024-03-13,0.0167384
2024-03-12,0.0167078
2024-03-11,0.0167365
2024-03-10,0.0167460
2024-03-09,0.0167462
2024-03-08,0.0167459
2024-03-07,0.0168274
2024-03-06,0.0168895
2024-03-05,0.0169050
2024-03-04,0.0168772
2024-03-03,0.0169533
2024-03-02,0.0169529
2024-03-01,0.0169710
2024-02-29,0.0170368
2024-02-28,0.0170478
2024-02-27,0.0170635
2024-02-26,0.0170529
2024-02-25,0.0170503
2024-02-24,0.0170507
2024-02-23,0.0170305
2024-02-22,0.0170666
2024-02-21,0.0171125
2024-02-20,0.0171335
2024-02-19,0.0171394
2024-02-18,0.0170782
2024-02-17,0.0170800
2024-02-16,0.0170776
2024-02-15,0.0170744
2024-02-14,0.0170572
2024-02-13,0.0170077
2024-02-12,0.0170672
2024-02-11,0.0170311
2024-02-10,0.0170311
2024-02-09,0.0170438
2024-02-08,0.0169568
2024-02-07,0.0169320
2024-02-06,0.0170461
2024-02-05,0.0169877
2024-02-04,0.0168452
2024-02-03,0.0168465
2024-02-02,0.0168989
2024-02-01,0.0168725
2024-01-31,0.0168813
2024-01-30,0.0169231
2024-01-29,0.0168898
2024-01-28,0.0168751
2024-01-27,0.0168773
2024-01-26,0.0168384
2024-01-25,0.0168976
2024-01-24,0.0168903
2024-01-23,0.0168577
2024-01-22,0.0168422
2024-01-21,0.0168175
2024-01-20,0.0168188
2024-01-19,0.0168204
2024-01-18,0.0168568
2024-01-17,0.0167812
2024-01-16,0.0166681
2024-01-15,0.0166780
2024-01-14,0.0165469
2024-01-13,0.0165430
2024-01-12,0.0165419
2024-01-11,0.0164763
2024-01-10,0.0164693
2024-01-09,0.0164676
2024-01-08,0.0165838
2024-01-07,0.0165115
2024-01-06,0.0165114
2024-01-05,0.0165012
2024-01-04,0.0164009
2024-01-03,0.0164132
2024-01-02,0.0163632
2024-01-01,0.0163555

Period Average,0.0163798
Period Low,0.0147896
Period High,0.0171567
