Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,NZD/MYR
2024-05-23,2.87390
2024-05-22,2.86473
2024-05-21,2.85951
2024-05-20,2.86398
2024-05-19,2.87295
2024-05-18,2.87294
2024-05-17,2.86644
2024-05-16,2.86546
2024-05-15,2.86081
2024-05-14,2.84516
2024-05-13,2.84700
2024-05-12,2.85066
2024-05-11,2.85076
2024-05-10,2.85120
2024-05-09,2.84923
2024-05-08,2.84162
2024-05-07,2.84536
2024-05-06,2.84752
2024-05-05,2.84684
2024-05-04,2.84686
2024-05-03,2.83899
2024-05-02,2.82427
2024-05-01,2.81113
2024-04-30,2.82450
2024-04-29,2.84624
2024-04-28,2.83012
2024-04-27,2.82979
2024-04-26,2.83747
2024-04-25,2.84055
2024-04-24,2.83390
2024-04-23,2.82902
2024-04-22,2.82418
2024-04-21,2.81255
2024-04-20,2.81231
2024-04-19,2.81320
2024-04-18,2.82565
2024-04-17,2.82840
2024-04-16,2.81739
2024-04-15,2.83048
2024-04-14,2.82995
2024-04-13,2.82965
2024-04-12,2.84229
2024-04-11,2.84175
2024-04-10,2.86036
2024-04-09,2.87200
2024-04-08,2.86027
2024-04-07,2.85257
2024-04-06,2.85288
2024-04-05,2.85255
2024-04-04,2.85741
2024-04-03,2.84206
2024-04-02,2.82994
2024-04-01,2.81864
2024-03-31,2.82275
2024-03-30,2.82243
2024-03-29,2.82279
2024-03-28,2.82794
2024-03-27,2.83622
2024-03-26,2.83585
2024-03-25,2.83533
2024-03-24,2.83691
2024-03-23,2.83698
2024-03-22,2.84399
2024-03-21,2.85864
2024-03-20,2.86473
2024-03-19,2.86287
2024-03-18,2.86977
2024-03-17,2.86010
2024-03-16,2.85994
2024-03-15,2.87853
2024-03-14,2.88056
2024-03-13,2.88237
2024-03-12,2.87988
2024-03-11,2.88880
2024-03-10,2.89259
2024-03-09,2.89265
2024-03-08,2.89509
2024-03-07,2.89896
2024-03-06,2.88920
2024-03-05,2.87795
2024-03-04,2.88029
2024-03-03,2.89615
2024-03-02,2.89617
2024-03-01,2.88957
2024-02-29,2.89322
2024-02-28,2.90675
2024-02-27,2.94043
2024-02-26,2.94629
2024-02-25,2.95759
2024-02-24,2.95782
2024-02-23,2.95857
2024-02-22,2.96054
2024-02-21,2.96198
2024-02-20,2.94953
2024-02-19,2.93782
2024-02-18,2.92544
2024-02-17,2.92536
2024-02-16,2.91783
2024-02-15,2.91364
2024-02-14,2.90481
2024-02-13,2.89902
2024-02-12,2.92041
2024-02-11,2.92629
2024-02-10,2.92636
2024-02-09,2.91860
2024-02-08,2.89534
2024-02-07,2.89290
2024-02-06,2.88746
2024-02-05,2.87780
2024-02-04,2.85853
2024-02-03,2.85863
2024-02-02,2.88601
2024-02-01,2.89125
2024-01-31,2.89593
2024-01-30,2.89736
2024-01-29,2.89030
2024-01-28,2.87788
2024-01-27,2.87795
2024-01-26,2.88346
2024-01-25,2.88979
2024-01-24,2.89181
2024-01-23,2.87704
2024-01-22,2.88216
2024-01-21,2.88063
2024-01-20,2.88058
2024-01-19,2.87915
2024-01-18,2.88276
2024-01-17,2.88285
2024-01-16,2.88013
2024-01-15,2.89262
2024-01-14,2.89753
2024-01-13,2.89770
2024-01-12,2.89976
2024-01-11,2.89414
2024-01-10,2.89396
2024-01-09,2.89775
2024-01-08,2.90020
2024-01-07,2.90455
2024-01-06,2.90460
2024-01-05,2.89614
2024-01-04,2.89392
2024-01-03,2.88837
2024-01-02,2.88987
2024-01-01,2.90130

Period Average,2.76586
Period Low,2.50779
Period High,2.96198
