Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,PHP/MYR
2024-02-28,0.0846483
2024-02-27,0.0849723
2024-02-26,0.0851567
2024-02-25,0.0852658
2024-02-24,0.0852659
2024-02-23,0.0853656
2024-02-22,0.0855593
2024-02-21,0.0856447
2024-02-20,0.0854918
2024-02-19,0.0853376
2024-02-18,0.0852354
2024-02-17,0.0852348
2024-02-16,0.0853004
2024-02-15,0.0853628
2024-02-14,0.0850909
2024-02-13,0.0848934
2024-02-12,0.0849975
2024-02-11,0.0849032
2024-02-10,0.0849033
2024-02-09,0.0848991
2024-02-08,0.0848081
2024-02-07,0.0845086
2024-02-06,0.0846436
2024-02-05,0.0842950
2024-02-04,0.0838893
2024-02-03,0.0838893
2024-02-02,0.0842053
2024-02-01,0.0842319
2024-01-31,0.0839194
2024-01-30,0.0837906
2024-01-29,0.0838156
2024-01-28,0.0837246
2024-01-27,0.0837246
2024-01-26,0.0837944
2024-01-25,0.0837484
2024-01-24,0.0840222
2024-01-23,0.0839215
2024-01-22,0.0838006
2024-01-21,0.0842616
2024-01-20,0.0842616
2024-01-19,0.0842282
2024-01-18,0.0843658
2024-01-17,0.0841360
2024-01-16,0.0836437
2024-01-15,0.0834598
2024-01-14,0.0831557
2024-01-13,0.0831558
2024-01-12,0.0830417
2024-01-11,0.0827162
2024-01-10,0.0824875
2024-01-09,0.0828224
2024-01-08,0.0834453
2024-01-07,0.0837338
2024-01-06,0.0837337
2024-01-05,0.0835774
2024-01-04,0.0833225
2024-01-03,0.0828833
2024-01-02,0.0827110
2024-01-01,0.0828767

Period Average,0.0797669
Period Low,0.0733878
Period High,0.0856447
