Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,EGP/MYR
2024-04-25,0.0996627
2024-04-24,0.0995128
2024-04-23,0.0992391
2024-04-22,0.0990210
2024-04-21,0.0987599
2024-04-20,0.0987624
2024-04-19,0.0985960
2024-04-18,0.0985837
2024-04-17,0.0985489
2024-04-16,0.0987640
2024-04-15,0.0992709
2024-04-14,0.100145
2024-04-13,0.100142
2024-04-12,0.100150
2024-04-11,0.0997276
2024-04-10,0.0997277
2024-04-09,0.0997594
2024-04-08,0.0998419
2024-04-07,0.100042
2024-04-06,0.100067
2024-04-05,0.100079
2024-04-04,0.0999570
2024-04-03,0.100374
2024-04-02,0.100413
2024-04-01,0.0995075
2024-03-31,0.0994060
2024-03-30,0.0994150
2024-03-29,0.0994937
2024-03-28,0.0998729
2024-03-27,0.0995060
2024-03-26,0.0989310
2024-03-25,0.100195
2024-03-24,0.101174
2024-03-23,0.101202
2024-03-22,0.101292
2024-03-21,0.100675
2024-03-20,0.100767
2024-03-19,0.100352
2024-03-18,0.0995104
2024-03-17,0.0982694
2024-03-16,0.0982938
2024-03-15,0.0987548
2024-03-14,0.0974483
2024-03-13,0.0962873
2024-03-12,0.0955876
2024-03-11,0.0951475
2024-03-10,0.0947667
2024-03-09,0.0947783
2024-03-08,0.0948411
2024-03-07,0.0951746
2024-03-06,0.117984
2024-03-05,0.152903
2024-03-04,0.152746
2024-03-03,0.153365
2024-03-02,0.153361
2024-03-01,0.153252
2024-02-29,0.153509
2024-02-28,0.153916
2024-02-27,0.154106
2024-02-26,0.154226
2024-02-25,0.154388
2024-02-24,0.154383
2024-02-23,0.154382
2024-02-22,0.154497
2024-02-21,0.154905
2024-02-20,0.154765
2024-02-19,0.154645
2024-02-18,0.154400
2024-02-17,0.154442
2024-02-16,0.154430
2024-02-15,0.154486
2024-02-14,0.154540
2024-02-13,0.153972
2024-02-12,0.154069
2024-02-11,0.153897
2024-02-10,0.153913
2024-02-09,0.153785
2024-02-08,0.153450
2024-02-07,0.153161
2024-02-06,0.153850
2024-02-05,0.153071
2024-02-04,0.152300
2024-02-03,0.152407
2024-02-02,0.152556
2024-02-01,0.152811
2024-01-31,0.152773
2024-01-30,0.152700
2024-01-29,0.152779
2024-01-28,0.152685
2024-01-27,0.152759
2024-01-26,0.152784
2024-01-25,0.152829
2024-01-24,0.152887
2024-01-23,0.152771
2024-01-22,0.152665
2024-01-21,0.152328
2024-01-20,0.152355
2024-01-19,0.152399
2024-01-18,0.152423
2024-01-17,0.152387
2024-01-16,0.151247
2024-01-15,0.150616
2024-01-14,0.150149
2024-01-13,0.150150
2024-01-12,0.150116
2024-01-11,0.150041
2024-01-10,0.150109
2024-01-09,0.150062
2024-01-08,0.150470
2024-01-07,0.150879
2024-01-06,0.150884
2024-01-05,0.150672
2024-01-04,0.149927
2024-01-03,0.149378
2024-01-02,0.148481
2024-01-01,0.147937

Period Average,0.104176
Period Low,0.0848470
Period High,0.154905
