Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,TWD/MYR
2024-09-18,0.132679
2024-09-17,0.133736
2024-09-16,0.134860
2024-09-15,0.134504
2024-09-14,0.134505
2024-09-13,0.134585
2024-09-12,0.134732
2024-09-11,0.134596
2024-09-10,0.135069
2024-09-09,0.135824
2024-09-08,0.135061
2024-09-07,0.135059
2024-09-06,0.135361
2024-09-05,0.135123
2024-09-04,0.135297
2024-09-03,0.136025
2024-09-02,0.135532
2024-09-01,0.134843
2024-08-31,0.134842
2024-08-30,0.134918
2024-08-29,0.135207
2024-08-28,0.135739
2024-08-27,0.136205
2024-08-26,0.136641
2024-08-25,0.137295
2024-08-24,0.137295
2024-08-23,0.137002
2024-08-22,0.136787
2024-08-21,0.137023
2024-08-20,0.136870
2024-08-19,0.136724
2024-08-18,0.137559
2024-08-17,0.137570
2024-08-16,0.137324
2024-08-15,0.136917
2024-08-14,0.137030
2024-08-13,0.137260
2024-08-12,0.136955
2024-08-11,0.136030
2024-08-10,0.136028
2024-08-09,0.136740
2024-08-08,0.137592
2024-08-07,0.137401
2024-08-06,0.136386
2024-08-05,0.135287
2024-08-04,0.137778
2024-08-03,0.137776
2024-08-02,0.137712
2024-08-01,0.139263
2024-07-31,0.140320
2024-07-30,0.140681
2024-07-29,0.141058
2024-07-28,0.141785
2024-07-27,0.141785
2024-07-26,0.141873
2024-07-25,0.142453
2024-07-24,0.142534
2024-07-23,0.142363
2024-07-22,0.142476
2024-07-21,0.142742
2024-07-20,0.142741
2024-07-19,0.142743
2024-07-18,0.142811
2024-07-17,0.143232
2024-07-16,0.143284
2024-07-15,0.143257
2024-07-14,0.143709
2024-07-13,0.143718
2024-07-12,0.143555
2024-07-11,0.144232
2024-07-10,0.144117
2024-07-09,0.144571
2024-07-08,0.145010
2024-07-07,0.145195
2024-07-06,0.145194
2024-07-05,0.145064
2024-07-04,0.144750
2024-07-03,0.144444
2024-07-02,0.144614
2024-07-01,0.144773
2024-06-30,0.144886
2024-06-29,0.144893
2024-06-28,0.145123
2024-06-27,0.144836
2024-06-26,0.144576
2024-06-25,0.144842
2024-06-24,0.145441
2024-06-23,0.145435
2024-06-22,0.145435
2024-06-21,0.145523
2024-06-20,0.145401
2024-06-19,0.145260
2024-06-18,0.145473
2024-06-17,0.145729
2024-06-16,0.145600
2024-06-15,0.145593
2024-06-14,0.145504
2024-06-13,0.145449
2024-06-12,0.145912
2024-06-11,0.145664
2024-06-10,0.145528
2024-06-09,0.144624
2024-06-08,0.144637
2024-06-07,0.144993
2024-06-06,0.145285
2024-06-05,0.145158
2024-06-04,0.145030
2024-06-03,0.145307
2024-06-02,0.144796
2024-06-01,0.144805
2024-05-31,0.144726
2024-05-30,0.145114
2024-05-29,0.145303
2024-05-28,0.145720
2024-05-27,0.145974
2024-05-26,0.145812
2024-05-25,0.145808
2024-05-24,0.146003
2024-05-23,0.145837
2024-05-22,0.145211
2024-05-21,0.145128
2024-05-20,0.145167
2024-05-19,0.145449
2024-05-18,0.145449
2024-05-17,0.145377
2024-05-16,0.145781
2024-05-15,0.146207
2024-05-14,0.145785
2024-05-13,0.145964
2024-05-12,0.145915
2024-05-11,0.145914
2024-05-10,0.145973
2024-05-09,0.146156
2024-05-08,0.146273
2024-05-07,0.146206
2024-05-06,0.146551
2024-05-05,0.146509
2024-05-04,0.146511
2024-05-03,0.146496
2024-05-02,0.146422
2024-05-01,0.146207
2024-04-30,0.146211
2024-04-29,0.146339
2024-04-28,0.146115
2024-04-27,0.146113
2024-04-26,0.146277
2024-04-25,0.146540
2024-04-24,0.146434
2024-04-23,0.146503
2024-04-22,0.146416
2024-04-21,0.146747
2024-04-20,0.146744
2024-04-19,0.146879
2024-04-18,0.147263
2024-04-17,0.147511
2024-04-16,0.147143
2024-04-15,0.147343
2024-04-14,0.147539
2024-04-13,0.147539
2024-04-12,0.147629
2024-04-11,0.147216
2024-04-10,0.147854
2024-04-09,0.148023
2024-04-08,0.147879
2024-04-07,0.147631
2024-04-06,0.147629
2024-04-05,0.147750
2024-04-04,0.147791
2024-04-03,0.148230
2024-04-02,0.148085
2024-04-01,0.147604
2024-03-31,0.147693
2024-03-30,0.147692
2024-03-29,0.147668
2024-03-28,0.147778
2024-03-27,0.147678
2024-03-26,0.147815
2024-03-25,0.148164
2024-03-24,0.147927
2024-03-23,0.147927
2024-03-22,0.148076
2024-03-21,0.147745
2024-03-20,0.148636
2024-03-19,0.148798
2024-03-18,0.148856
2024-03-17,0.148631
2024-03-16,0.148629
2024-03-15,0.149317
2024-03-14,0.148510
2024-03-13,0.148673
2024-03-12,0.148759
2024-03-11,0.148918
2024-03-10,0.149037
2024-03-09,0.149039
2024-03-08,0.149067
2024-03-07,0.149404
2024-03-06,0.149856
2024-03-05,0.149750
2024-03-04,0.149676
2024-03-03,0.150145
2024-03-02,0.150144
2024-03-01,0.149915
2024-02-29,0.150053
2024-02-28,0.150394
2024-02-27,0.150849
2024-02-26,0.151173
2024-02-25,0.150993
2024-02-24,0.150995
2024-02-23,0.151064
2024-02-22,0.151519
2024-02-21,0.152047
2024-02-20,0.152195
2024-02-19,0.152244
2024-02-18,0.152233
2024-02-17,0.152229
2024-02-16,0.152249
2024-02-15,0.152266
2024-02-14,0.151780
2024-02-13,0.151452
2024-02-12,0.151775
2024-02-11,0.151662
2024-02-10,0.151664
2024-02-09,0.151524
2024-02-08,0.151210
2024-02-07,0.150989
2024-02-06,0.151825
2024-02-05,0.151234
2024-02-04,0.150134
2024-02-03,0.150136
2024-02-02,0.150773
2024-02-01,0.150899
2024-01-31,0.151182
2024-01-30,0.151621
2024-01-29,0.151420
2024-01-28,0.150939
2024-01-27,0.150942
2024-01-26,0.151009
2024-01-25,0.150883
2024-01-24,0.150858
2024-01-23,0.150478
2024-01-22,0.150503
2024-01-21,0.149997
2024-01-20,0.149998
2024-01-19,0.149986
2024-01-18,0.149363
2024-01-17,0.149185
2024-01-16,0.148705
2024-01-15,0.149064
2024-01-14,0.149311
2024-01-13,0.149312
2024-01-12,0.149250
2024-01-11,0.149320
2024-01-10,0.149160
2024-01-09,0.149460
2024-01-08,0.150040
2024-01-07,0.150129
2024-01-06,0.150129
2024-01-05,0.149818
2024-01-04,0.149093
2024-01-03,0.148838
2024-01-02,0.149027
2024-01-01,0.149557

Period Average,0.142370
Period Low,0.129293
Period High,0.152266
