Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,NPR/MYR
2024-07-19,0.0345586
2024-07-18,0.0344751
2024-07-17,0.0345026
2024-07-16,0.0345544
2024-07-15,0.0345569
2024-07-14,0.0346380
2024-07-13,0.0346394
2024-07-12,0.0345717
2024-07-11,0.0346844
2024-07-10,0.0347633
2024-07-09,0.0348276
2024-07-08,0.0348439
2024-07-07,0.0348683
2024-07-06,0.0348675
2024-07-05,0.0348527
2024-07-04,0.0348687
2024-07-03,0.0349271
2024-07-02,0.0349285
2024-07-01,0.0349492
2024-06-30,0.0349135
2024-06-29,0.0349116
2024-06-28,0.0349012
2024-06-27,0.0348840
2024-06-26,0.0348319
2024-06-25,0.0348193
2024-06-24,0.0348615
2024-06-23,0.0348481
2024-06-22,0.0348474
2024-06-21,0.0348349
2024-06-20,0.0348397
2024-06-19,0.0348598
2024-06-18,0.0349027
2024-06-17,0.0349112
2024-06-16,0.0348093
2024-06-15,0.0347983
2024-06-14,0.0347484
2024-06-13,0.0348197
2024-06-12,0.0348938
2024-06-11,0.0349236
2024-06-10,0.0348373
2024-06-09,0.0347333
2024-06-08,0.0347335
2024-06-07,0.0347452
2024-06-06,0.0347695
2024-06-05,0.0347780
2024-06-04,0.0348477
2024-06-03,0.0348699
2024-06-02,0.0348485
2024-06-01,0.0348494
2024-05-31,0.0348580
2024-05-30,0.0348373
2024-05-29,0.0348302
2024-05-28,0.0348673
2024-05-27,0.0349415
2024-05-26,0.0349662
2024-05-25,0.0349647
2024-05-24,0.0349271
2024-05-23,0.0348772
2024-05-22,0.0347794
2024-05-21,0.0347842
2024-05-20,0.0347911
2024-05-19,0.0347385
2024-05-18,0.0347349
2024-05-17,0.0347028
2024-05-16,0.0347596
2024-05-15,0.0348555
2024-05-14,0.0349225
2024-05-13,0.0350037
2024-05-12,0.0350370
2024-05-11,0.0350394
2024-05-10,0.0350663
2024-05-09,0.0350499
2024-05-08,0.0350743
2024-05-07,0.0350630
2024-05-06,0.0350728
2024-05-05,0.0350488
2024-05-04,0.0350489
2024-05-03,0.0350653
2024-05-02,0.0351593
2024-05-01,0.0351629
2024-04-30,0.0352642
2024-04-29,0.0352813
2024-04-28,0.0353388
2024-04-27,0.0353403
2024-04-26,0.0353708
2024-04-25,0.0354451
2024-04-24,0.0354317
2024-04-23,0.0354113
2024-04-22,0.0353865
2024-04-21,0.0353302
2024-04-20,0.0353302
2024-04-19,0.0353201
2024-04-18,0.0353408
2024-04-17,0.0353929
2024-04-16,0.0354006
2024-04-15,0.0353695
2024-04-14,0.0353247
2024-04-13,0.0353245
2024-04-12,0.0353132
2024-04-11,0.0351267
2024-04-10,0.0352328
2024-04-09,0.0352626
2024-04-08,0.0352273
2024-04-07,0.0351782
2024-04-06,0.0351781
2024-04-05,0.0351438
2024-04-04,0.0351432
2024-04-03,0.0352191
2024-04-02,0.0351945
2024-04-01,0.0350151
2024-03-31,0.0349774
2024-03-30,0.0349770
2024-03-29,0.0349826
2024-03-28,0.0350462
2024-03-27,0.0350102
2024-03-26,0.0349769
2024-03-25,0.0350288
2024-03-24,0.0351276
2024-03-23,0.0351276
2024-03-22,0.0351326
2024-03-21,0.0350826
2024-03-20,0.0352281
2024-03-19,0.0351464
2024-03-18,0.0351101
2024-03-17,0.0350527
2024-03-16,0.0350540
2024-03-15,0.0351826
2024-03-14,0.0349715
2024-03-13,0.0349464
2024-03-12,0.0349253
2024-03-11,0.0349915
2024-03-10,0.0349923
2024-03-09,0.0349907
2024-03-08,0.0350570
2024-03-07,0.0352052
2024-03-06,0.0352811
2024-03-05,0.0352406
2024-03-04,0.0352315
2024-03-03,0.0353571
2024-03-02,0.0353557
2024-03-01,0.0353122
2024-02-29,0.0354044
2024-02-28,0.0354936
2024-02-27,0.0355462
2024-02-26,0.0355116
2024-02-25,0.0354883
2024-02-24,0.0354879
2024-02-23,0.0355050
2024-02-22,0.0356126
2024-02-21,0.0357002
2024-02-20,0.0356362
2024-02-19,0.0355881
2024-02-18,0.0355463
2024-02-17,0.0355464
2024-02-16,0.0355781
2024-02-15,0.0355842
2024-02-14,0.0355285
2024-02-13,0.0354750
2024-02-12,0.0354938
2024-02-11,0.0354371
2024-02-10,0.0354367
2024-02-09,0.0354207
2024-02-08,0.0353621
2024-02-07,0.0352730
2024-02-06,0.0353418
2024-02-05,0.0351735
2024-02-04,0.0351084
2024-02-03,0.0351246
2024-02-02,0.0351857
2024-02-01,0.0351460
2024-01-31,0.0351821
2024-01-30,0.0351549
2024-01-29,0.0351272
2024-01-28,0.0351414
2024-01-27,0.0351420
2024-01-26,0.0350814
2024-01-25,0.0351164
2024-01-24,0.0351494
2024-01-23,0.0351452
2024-01-22,0.0351376
2024-01-21,0.0350229
2024-01-20,0.0350204
2024-01-19,0.0350313
2024-01-18,0.0350451
2024-01-17,0.0350012
2024-01-16,0.0348234
2024-01-15,0.0347540
2024-01-14,0.0346133
2024-01-13,0.0346128
2024-01-12,0.0345749
2024-01-11,0.0345708
2024-01-10,0.0345268
2024-01-09,0.0345322
2024-01-08,0.0345932
2024-01-07,0.0345252
2024-01-06,0.0345252
2024-01-05,0.0344631
2024-01-04,0.0343025
2024-01-03,0.0341278
2024-01-02,0.0340234
2024-01-01,0.0340450

Period Average,0.0337721
Period Low,0.0304144
Period High,0.0357002
