Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,VND/MYR
2024-08-15,0.000176702
2024-08-14,0.000176172
2024-08-13,0.000176836
2024-08-12,0.000176754
2024-08-11,0.000175829
2024-08-10,0.000175845
2024-08-09,0.000176382
2024-08-08,0.000177756
2024-08-07,0.000178351
2024-08-06,0.000177698
2024-08-05,0.000176017
2024-08-04,0.000178198
2024-08-03,0.000178200
2024-08-02,0.000178707
2024-08-01,0.000180902
2024-07-31,0.000181943
2024-07-30,0.000182823
2024-07-29,0.000183288
2024-07-28,0.000183801
2024-07-27,0.000183803
2024-07-26,0.000183867
2024-07-25,0.000184136
2024-07-24,0.000184115
2024-07-23,0.000184183
2024-07-22,0.000184755
2024-07-21,0.000184839
2024-07-20,0.000184840
2024-07-19,0.000184730
2024-07-18,0.000184233
2024-07-17,0.000184027
2024-07-16,0.000184140
2024-07-15,0.000183965
2024-07-14,0.000184011
2024-07-13,0.000184021
2024-07-12,0.000183708
2024-07-11,0.000184326
2024-07-10,0.000184892
2024-07-09,0.000185124
2024-07-08,0.000185159
2024-07-07,0.000185196
2024-07-06,0.000185207
2024-07-05,0.000185090
2024-07-04,0.000184917
2024-07-03,0.000185241
2024-07-02,0.000185281
2024-07-01,0.000185079
2024-06-30,0.000185186
2024-06-29,0.000185187
2024-06-28,0.000185248
2024-06-27,0.000185270
2024-06-26,0.000184901
2024-06-25,0.000184716
2024-06-24,0.000184973
2024-06-23,0.000184933
2024-06-22,0.000184932
2024-06-21,0.000185013
2024-06-20,0.000184920
2024-06-19,0.000184840
2024-06-18,0.000185082
2024-06-17,0.000185277
2024-06-16,0.000185168
2024-06-15,0.000185166
2024-06-14,0.000185170
2024-06-13,0.000184934
2024-06-12,0.000185352
2024-06-11,0.000185446
2024-06-10,0.000185500
2024-06-09,0.000184518
2024-06-08,0.000184521
2024-06-07,0.000184485
2024-06-06,0.000184528
2024-06-05,0.000184706
2024-06-04,0.000184734
2024-06-03,0.000184854
2024-06-02,0.000184823
2024-06-01,0.000184831
2024-05-31,0.000184701
2024-05-30,0.000184735
2024-05-29,0.000184589
2024-05-28,0.000184246
2024-05-27,0.000184512
2024-05-26,0.000184655
2024-05-25,0.000184653
2024-05-24,0.000184846
2024-05-23,0.000184641
2024-05-22,0.000184127
2024-05-21,0.000184148
2024-05-20,0.000183922
2024-05-19,0.000184062
2024-05-18,0.000184064
2024-05-17,0.000184024
2024-05-16,0.000184012
2024-05-15,0.000184762
2024-05-14,0.000185401
2024-05-13,0.000185933
2024-05-12,0.000186047
2024-05-11,0.000186050
2024-05-10,0.000186053
2024-05-09,0.000186215
2024-05-08,0.000186383
2024-05-07,0.000186372
2024-05-06,0.000186558
2024-05-05,0.000186340
2024-05-04,0.000186345
2024-05-03,0.000186349
2024-05-02,0.000187247
2024-05-01,0.000187970
2024-04-30,0.000188014
2024-04-29,0.000188051
2024-04-28,0.000187942
2024-04-27,0.000187944
2024-04-26,0.000188091
2024-04-25,0.000188256
2024-04-24,0.000187722
2024-04-23,0.000187648
2024-04-22,0.000187641
2024-04-21,0.000187705
2024-04-20,0.000187704
2024-04-19,0.000187778
2024-04-18,0.000187999
2024-04-17,0.000188475
2024-04-16,0.000189354
2024-04-15,0.000189848
2024-04-14,0.000190285
2024-04-13,0.000190290
2024-04-12,0.000190446
2024-04-11,0.000189824
2024-04-10,0.000190136
2024-04-09,0.000190132
2024-04-08,0.000190228
2024-04-07,0.000190004
2024-04-06,0.000190003
2024-04-05,0.000189959
2024-04-04,0.000189685
2024-04-03,0.000190057
2024-04-02,0.000190812
2024-04-01,0.000190420
2024-03-31,0.000190063
2024-03-30,0.000190062
2024-03-29,0.000190396
2024-03-28,0.000190771
2024-03-27,0.000190700
2024-03-26,0.000190389
2024-03-25,0.000190771
2024-03-24,0.000191145
2024-03-23,0.000191145
2024-03-22,0.000191017
2024-03-21,0.000189954
2024-03-20,0.000191079
2024-03-19,0.000191096
2024-03-18,0.000190642
2024-03-17,0.000190155
2024-03-16,0.000190161
2024-03-15,0.000191006
2024-03-14,0.000189575
2024-03-13,0.000189657
2024-03-12,0.000189643
2024-03-11,0.000189788
2024-03-10,0.000189945
2024-03-09,0.000189949
2024-03-08,0.000189945
2024-03-07,0.000190522
2024-03-06,0.000191501
2024-03-05,0.000191443
2024-03-04,0.000191321
2024-03-03,0.000192157
2024-03-02,0.000192157
2024-03-01,0.000192164
2024-02-29,0.000192650
2024-02-28,0.000193288
2024-02-27,0.000193410
2024-02-26,0.000193426
2024-02-25,0.000193705
2024-02-24,0.000193705
2024-02-23,0.000193831
2024-02-22,0.000194255
2024-02-21,0.000195339
2024-02-20,0.000195154
2024-02-19,0.000194887
2024-02-18,0.000194676
2024-02-17,0.000194676
2024-02-16,0.000194758
2024-02-15,0.000195336
2024-02-14,0.000195505
2024-02-13,0.000194823
2024-02-12,0.000194875
2024-02-11,0.000194828
2024-02-10,0.000194828
2024-02-09,0.000194624
2024-02-08,0.000194144
2024-02-07,0.000193837
2024-02-06,0.000195221
2024-02-05,0.000194778
2024-02-04,0.000193548
2024-02-03,0.000193548
2024-02-02,0.000193563
2024-02-01,0.000193555
2024-01-31,0.000193448
2024-01-30,0.000193308
2024-01-29,0.000192568
2024-01-28,0.000191921
2024-01-27,0.000191921
2024-01-26,0.000191967
2024-01-25,0.000192028
2024-01-24,0.000192119
2024-01-23,0.000192292
2024-01-22,0.000192212
2024-01-21,0.000191890
2024-01-20,0.000191890
2024-01-19,0.000192004
2024-01-18,0.000191993
2024-01-17,0.000192061
2024-01-16,0.000190829
2024-01-15,0.000190289
2024-01-14,0.000189469
2024-01-13,0.000189469
2024-01-12,0.000189427
2024-01-11,0.000189529
2024-01-10,0.000190163
2024-01-09,0.000190458
2024-01-08,0.000190825
2024-01-07,0.000190660
2024-01-06,0.000190660
2024-01-05,0.000190531
2024-01-04,0.000190022
2024-01-03,0.000189556
2024-01-02,0.000189113
2024-01-01,0.000189180

Period Average,0.000182438
Period Low,0.000167325
Period High,0.000195505
