Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,AED/MYR
2024-09-15,1.17060
2024-09-14,1.17061
2024-09-13,1.17186
2024-09-12,1.17913
2024-09-11,1.17828
2024-09-10,1.18346
2024-09-09,1.18722
2024-09-08,1.17866
2024-09-07,1.17865
2024-09-06,1.17851
2024-09-05,1.17967
2024-09-04,1.18403
2024-09-03,1.18885
2024-09-02,1.18287
2024-09-01,1.17541
2024-08-31,1.17539
2024-08-30,1.17481
2024-08-29,1.17469
2024-08-28,1.18169
2024-08-27,1.18366
2024-08-26,1.18450
2024-08-25,1.19029
2024-08-24,1.19029
2024-08-23,1.19091
2024-08-22,1.19124
2024-08-21,1.19084
2024-08-20,1.18977
2024-08-19,1.19103
2024-08-18,1.20599
2024-08-17,1.20610
2024-08-16,1.20692
2024-08-15,1.20620
2024-08-14,1.20335
2024-08-13,1.21082
2024-08-12,1.21002
2024-08-11,1.20222
2024-08-10,1.20220
2024-08-09,1.20656
2024-08-08,1.21720
2024-08-07,1.22232
2024-08-06,1.21639
2024-08-05,1.20393
2024-08-04,1.22372
2024-08-03,1.22371
2024-08-02,1.22716
2024-08-01,1.24240
2024-07-31,1.25153
2024-07-30,1.25872
2024-07-29,1.26213
2024-07-28,1.26697
2024-07-27,1.26696
2024-07-26,1.26739
2024-07-25,1.26968
2024-07-24,1.27136
2024-07-23,1.27163
2024-07-22,1.27438
2024-07-21,1.27513
2024-07-20,1.27514
2024-07-19,1.27414
2024-07-18,1.26961
2024-07-17,1.27011
2024-07-16,1.27238
2024-07-15,1.27144
2024-07-14,1.27316
2024-07-13,1.27322
2024-07-12,1.27131
2024-07-11,1.27600
2024-07-10,1.27953
2024-07-09,1.28116
2024-07-08,1.28146
2024-07-07,1.28155
2024-07-06,1.28154
2024-07-05,1.28136
2024-07-04,1.28153
2024-07-03,1.28376
2024-07-02,1.28406
2024-07-01,1.28260
2024-06-30,1.28356
2024-06-29,1.28355
2024-06-28,1.28381
2024-06-27,1.28416
2024-06-26,1.28180
2024-06-25,1.28040
2024-06-24,1.28205
2024-06-23,1.28189
2024-06-22,1.28189
2024-06-21,1.28233
2024-06-20,1.28154
2024-06-19,1.28089
2024-06-18,1.28275
2024-06-17,1.28406
2024-06-16,1.28331
2024-06-15,1.28331
2024-06-14,1.28303
2024-06-13,1.28108
2024-06-12,1.28361
2024-06-11,1.28437
2024-06-10,1.28396
2024-06-09,1.27672
2024-06-08,1.27673
2024-06-07,1.27691
2024-06-06,1.27750
2024-06-05,1.27846
2024-06-04,1.27850
2024-06-03,1.28038
2024-06-02,1.28086
2024-06-01,1.28088
2024-05-31,1.28016
2024-05-30,1.28057
2024-05-29,1.27940
2024-05-28,1.27691
2024-05-27,1.27885
2024-05-26,1.28044
2024-05-25,1.28042
2024-05-24,1.28189
2024-05-23,1.28029
2024-05-22,1.27644
2024-05-21,1.27651
2024-05-20,1.27460
2024-05-19,1.27528
2024-05-18,1.27528
2024-05-17,1.27500
2024-05-16,1.27521
2024-05-15,1.28059
2024-05-14,1.28523
2024-05-13,1.28857
2024-05-12,1.28940
2024-05-11,1.28942
2024-05-10,1.28936
2024-05-09,1.29004
2024-05-08,1.29061
2024-05-07,1.28939
2024-05-06,1.28956
2024-05-05,1.28975
2024-05-04,1.28976
2024-05-03,1.28968
2024-05-02,1.29469
2024-05-01,1.29739
2024-04-30,1.29769
2024-04-29,1.29791
2024-04-28,1.29720
2024-04-27,1.29720
2024-04-26,1.29803
2024-04-25,1.30046
2024-04-24,1.29988
2024-04-23,1.30031
2024-04-22,1.30061
2024-04-21,1.30050
2024-04-20,1.30050
2024-04-19,1.30110
2024-04-18,1.30041
2024-04-17,1.30353
2024-04-16,1.30342
2024-04-15,1.30003
2024-04-14,1.29805
2024-04-13,1.29806
2024-04-12,1.29774
2024-04-11,1.29197
2024-04-10,1.29195
2024-04-09,1.29234
2024-04-08,1.29321
2024-04-07,1.29181
2024-04-06,1.29181
2024-04-05,1.29155
2024-04-04,1.28977
2024-04-03,1.29349
2024-04-02,1.29320
2024-04-01,1.28623
2024-03-31,1.28555
2024-03-30,1.28555
2024-03-29,1.28607
2024-03-28,1.28795
2024-03-27,1.28724
2024-03-26,1.28468
2024-03-25,1.28631
2024-03-24,1.28917
2024-03-23,1.28917
2024-03-22,1.28906
2024-03-21,1.28221
2024-03-20,1.28954
2024-03-19,1.28739
2024-03-18,1.28334
2024-03-17,1.28013
2024-03-16,1.28014
2024-03-15,1.28603
2024-03-14,1.27531
2024-03-13,1.27434
2024-03-12,1.27313
2024-03-11,1.27435
2024-03-10,1.27540
2024-03-09,1.27540
2024-03-08,1.27559
2024-03-07,1.28178
2024-03-06,1.28776
2024-03-05,1.28751
2024-03-04,1.28581
2024-03-03,1.29109
2024-03-02,1.29109
2024-03-01,1.29036
2024-02-29,1.29291
2024-02-28,1.29651
2024-02-27,1.29811
2024-02-26,1.29962
2024-02-25,1.29968
2024-02-24,1.29968
2024-02-23,1.29990
2024-02-22,1.30090
2024-02-21,1.30476
2024-02-20,1.30392
2024-02-19,1.30190
2024-02-18,1.30060
2024-02-17,1.30060
2024-02-16,1.30037
2024-02-15,1.30089
2024-02-14,1.30127
2024-02-13,1.29665
2024-02-12,1.29667
2024-02-11,1.29621
2024-02-10,1.29621
2024-02-09,1.29489
2024-02-08,1.29208
2024-02-07,1.28962
2024-02-06,1.29550
2024-02-05,1.29288
2024-02-04,1.28347
2024-02-03,1.28348
2024-02-02,1.28453
2024-02-01,1.28673
2024-01-31,1.28678
2024-01-30,1.28648
2024-01-29,1.28766
2024-01-28,1.28631
2024-01-27,1.28631
2024-01-26,1.28648
2024-01-25,1.28676
2024-01-24,1.28730
2024-01-23,1.28653
2024-01-22,1.28523
2024-01-21,1.28280
2024-01-20,1.28280
2024-01-19,1.28321
2024-01-18,1.28348
2024-01-17,1.28310
2024-01-16,1.27406
2024-01-15,1.26876
2024-01-14,1.26428
2024-01-13,1.26427
2024-01-12,1.26400
2024-01-11,1.26340
2024-01-10,1.26387
2024-01-09,1.26358
2024-01-08,1.26561
2024-01-07,1.26662
2024-01-06,1.26662
2024-01-05,1.26467
2024-01-04,1.26146
2024-01-03,1.25833
2024-01-02,1.25221
2024-01-01,1.25016

Period Average,1.24467
Period Low,1.12040
Period High,1.30476
