Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,INR/MYR
2024-10-07,0.0509102
2024-10-06,0.0502086
2024-10-05,0.0502080
2024-10-04,0.0502510
2024-10-03,0.0501962
2024-10-02,0.0496391
2024-10-01,0.0496280
2024-09-30,0.0491200
2024-09-29,0.0492368
2024-09-28,0.0492363
2024-09-27,0.0492617
2024-09-26,0.0494806
2024-09-25,0.0493720
2024-09-24,0.0498141
2024-09-23,0.0503141
2024-09-22,0.0503182
2024-09-21,0.0503179
2024-09-20,0.0502308
2024-09-19,0.0504860
2024-09-18,0.0506917
2024-09-17,0.0509068
2024-09-16,0.0512510
2024-09-15,0.0512557
2024-09-14,0.0512566
2024-09-13,0.0513009
2024-09-12,0.0515895
2024-09-11,0.0515397
2024-09-10,0.0517676
2024-09-09,0.0519411
2024-09-08,0.0515488
2024-09-07,0.0515481
2024-09-06,0.0515575
2024-09-05,0.0515951
2024-09-04,0.0517923
2024-09-03,0.0520151
2024-09-02,0.0517849
2024-09-01,0.0514557
2024-08-31,0.0514542
2024-08-30,0.0514534
2024-08-29,0.0514295
2024-08-28,0.0517042
2024-08-27,0.0518061
2024-08-26,0.0518790
2024-08-25,0.0521537
2024-08-24,0.0521538
2024-08-23,0.0521562
2024-08-22,0.0521278
2024-08-21,0.0521473
2024-08-20,0.0521565
2024-08-19,0.0521640
2024-08-18,0.0528154
2024-08-17,0.0528205
2024-08-16,0.0528271
2024-08-15,0.0527700
2024-08-14,0.0526558
2024-08-13,0.0529891
2024-08-12,0.0529449
2024-08-11,0.0525979
2024-08-10,0.0525976
2024-08-09,0.0527937
2024-08-08,0.0532444
2024-08-07,0.0534887
2024-08-06,0.0532339
2024-08-05,0.0526792
2024-08-04,0.0536279
2024-08-03,0.0536245
2024-08-02,0.0538109
2024-08-01,0.0545024
2024-07-31,0.0549172
2024-07-30,0.0552197
2024-07-29,0.0553654
2024-07-28,0.0555845
2024-07-27,0.0555872
2024-07-26,0.0556015
2024-07-25,0.0556918
2024-07-24,0.0557829
2024-07-23,0.0558171
2024-07-22,0.0559487
2024-07-21,0.0559333
2024-07-20,0.0559323
2024-07-19,0.0559254
2024-07-18,0.0557644
2024-07-17,0.0558325
2024-07-16,0.0559286
2024-07-15,0.0558873
2024-07-14,0.0559992
2024-07-13,0.0560021
2024-07-12,0.0559116
2024-07-11,0.0561195
2024-07-10,0.0562859
2024-07-09,0.0563673
2024-07-08,0.0563921
2024-07-07,0.0564036
2024-07-06,0.0564036
2024-07-05,0.0563770
2024-07-04,0.0563704
2024-07-03,0.0564700
2024-07-02,0.0564958
2024-07-01,0.0564704
2024-06-30,0.0565425
2024-06-29,0.0565417
2024-06-28,0.0565425
2024-06-27,0.0565065
2024-06-26,0.0563586
2024-06-25,0.0563676
2024-06-24,0.0564035
2024-06-23,0.0563466
2024-06-22,0.0563463
2024-06-21,0.0563608
2024-06-20,0.0563254
2024-06-19,0.0564034
2024-06-18,0.0564844
2024-06-17,0.0564698
2024-06-16,0.0564225
2024-06-15,0.0564215
2024-06-14,0.0564097
2024-06-13,0.0563292
2024-06-12,0.0564494
2024-06-11,0.0564559
2024-06-10,0.0564720
2024-06-09,0.0561454
2024-06-08,0.0561455
2024-06-07,0.0561887
2024-06-06,0.0562240
2024-06-05,0.0562899
2024-06-04,0.0562520
2024-06-03,0.0565753
2024-06-02,0.0563834
2024-06-01,0.0563849
2024-05-31,0.0563913
2024-05-30,0.0564442
2024-05-29,0.0563975
2024-05-28,0.0563927
2024-05-27,0.0565238
2024-05-26,0.0566374
2024-05-25,0.0566368
2024-05-24,0.0566475
2024-05-23,0.0564740
2024-05-22,0.0563073
2024-05-21,0.0562828
2024-05-20,0.0562143
2024-05-19,0.0562330
2024-05-18,0.0562329
2024-05-17,0.0561744
2024-05-16,0.0561127
2024-05-15,0.0563590
2024-05-14,0.0565328
2024-05-13,0.0566776
2024-05-12,0.0566877
2024-05-11,0.0566887
2024-05-10,0.0567084
2024-05-09,0.0567670
2024-05-08,0.0567853
2024-05-07,0.0567372
2024-05-06,0.0567465
2024-05-05,0.0568158
2024-05-04,0.0568168
2024-05-03,0.0568063
2024-05-02,0.0570004
2024-05-01,0.0570941
2024-04-30,0.0571056
2024-04-29,0.0571391
2024-04-28,0.0571301
2024-04-27,0.0571315
2024-04-26,0.0571982
2024-04-25,0.0573292
2024-04-24,0.0573071
2024-04-23,0.0573238
2024-04-22,0.0572876
2024-04-21,0.0572537
2024-04-20,0.0572530
2024-04-19,0.0572495
2024-04-18,0.0571654
2024-04-17,0.0572430
2024-04-16,0.0572638
2024-04-15,0.0571960
2024-04-14,0.0570208
2024-04-13,0.0570215
2024-04-12,0.0570912
2024-04-11,0.0569206
2024-04-10,0.0569673
2024-04-09,0.0570325
2024-04-08,0.0570304
2024-04-07,0.0569515
2024-04-06,0.0569537
2024-04-05,0.0569134
2024-04-04,0.0567760
2024-04-03,0.0569270
2024-04-02,0.0569696
2024-04-01,0.0566509
2024-03-31,0.0566548
2024-03-30,0.0566584
2024-03-29,0.0566650
2024-03-28,0.0567313
2024-03-27,0.0567246
2024-03-26,0.0566152
2024-03-25,0.0566168
2024-03-24,0.0566464
2024-03-23,0.0566396
2024-03-22,0.0567258
2024-03-21,0.0566374
2024-03-20,0.0569837
2024-03-19,0.0569679
2024-03-18,0.0568550
2024-03-17,0.0567229
2024-03-16,0.0567246
2024-03-15,0.0569790
2024-03-14,0.0565105
2024-03-13,0.0565033
2024-03-12,0.0564891
2024-03-11,0.0565701
2024-03-10,0.0566028
2024-03-09,0.0566028
2024-03-08,0.0566328
2024-03-07,0.0568950
2024-03-06,0.0570922
2024-03-05,0.0570470
2024-03-04,0.0569781
2024-03-03,0.0572397
2024-03-02,0.0572408
2024-03-01,0.0571967
2024-02-29,0.0572847
2024-02-28,0.0574434
2024-02-27,0.0575276
2024-02-26,0.0576050
2024-02-25,0.0575913
2024-02-24,0.0575913
2024-02-23,0.0576071
2024-02-22,0.0576486
2024-02-21,0.0578040
2024-02-20,0.0577484
2024-02-19,0.0576042
2024-02-18,0.0575494
2024-02-17,0.0575491
2024-02-16,0.0575370
2024-02-15,0.0575554
2024-02-14,0.0575524
2024-02-13,0.0573518
2024-02-12,0.0573856
2024-02-11,0.0573578
2024-02-10,0.0573587
2024-02-09,0.0573006
2024-02-08,0.0571941
2024-02-07,0.0570806
2024-02-06,0.0572992
2024-02-05,0.0571883
2024-02-04,0.0567927
2024-02-03,0.0567920
2024-02-02,0.0568894
2024-02-01,0.0569592
2024-01-31,0.0569006
2024-01-30,0.0568507
2024-01-29,0.0568870
2024-01-28,0.0568390
2024-01-27,0.0568396
2024-01-26,0.0568528
2024-01-25,0.0568668
2024-01-24,0.0568772
2024-01-23,0.0568433
2024-01-22,0.0567687
2024-01-21,0.0566716
2024-01-20,0.0566721
2024-01-19,0.0567107
2024-01-18,0.0566973
2024-01-17,0.0566841
2024-01-16,0.0563573
2024-01-15,0.0562505
2024-01-14,0.0560348
2024-01-13,0.0560373
2024-01-12,0.0559931
2024-01-11,0.0558850
2024-01-10,0.0558919
2024-01-09,0.0558497
2024-01-08,0.0559491
2024-01-07,0.0559549
2024-01-06,0.0559626
2024-01-05,0.0558577
2024-01-04,0.0556471
2024-01-03,0.0554905
2024-01-02,0.0552260
2024-01-01,0.0551951

Period Average,0.0546507
Period Low,0.0491200
Period High,0.0578040
