Period Start Date,SGD/MYR
24-Jul-24,3.4745
25-Jul-24,3.47205
26-Jul-24,3.46668
27-Jul-24,3.46595
28-Jul-24,3.4658
29-Jul-24,3.45187
30-Jul-24,3.44115
31-Jul-24,3.43338
1-Aug-24,3.41369
2-Aug-24,3.38776
3-Aug-24,3.3876
4-Aug-24,3.38745
5-Aug-24,3.34247
6-Aug-24,3.37038
7-Aug-24,3.38246
8-Aug-24,3.37302
9-Aug-24,3.3477
10-Aug-24,3.3335
11-Aug-24,3.33358
12-Aug-24,3.3559
13-Aug-24,3.36647
14-Aug-24,3.35769
15-Aug-24,3.3578
16-Aug-24,3.36218
17-Aug-24,3.36631
18-Aug-24,3.36591
19-Aug-24,3.33933
20-Aug-24,3.3432
21-Aug-24,3.34882
22-Aug-24,3.34383
23-Aug-24,3.35041
24-Aug-24,3.35982
25-Aug-24,3.35964
26-Aug-24,3.33978
27-Aug-24,3.33615
28-Aug-24,3.33003
29-Aug-24,3.3133
30-Aug-24,3.30929
31-Aug-24,3.30402
1-Sep-24,3.30422
2-Sep-24,3.32475
3-Sep-24,3.33771
4-Sep-24,3.33099
5-Sep-24,3.32943
6-Sep-24,3.32899
7-Sep-24,3.32295
8-Sep-24,3.32284
9-Sep-24,3.34181
10-Sep-24,3.33009
11-Sep-24,3.32118
12-Sep-24,3.32166
13-Sep-24,3.3142
14-Sep-24,3.31294
15-Sep-24,3.31287
16-Sep-24,3.31707
17-Sep-24,3.29367
18-Sep-24,3.27896
19-Sep-24,3.26517
20-Sep-24,3.24959
21-Sep-24,3.25427
22-Sep-24,3.25418
23-Sep-24,3.25504
24-Sep-24,3.23519
25-Sep-24,3.20934
26-Sep-24,3.22003
27-Sep-24,3.21473
28-Sep-24,3.21749
29-Sep-24,3.21747
30-Sep-24,3.20997
1-Oct-24,3.23327
2-Oct-24,3.23101
3-Oct-24,3.25186
4-Oct-24,3.2453
5-Oct-24,3.23364
6-Oct-24,3.23359
7-Oct-24,3.27914
8-Oct-24,3.28579
9-Oct-24,3.27963
10-Oct-24,3.28227
11-Oct-24,3.28205
12-Oct-24,3.28363
13-Oct-24,3.28318
14-Oct-24,3.28247
15-Oct-24,3.28676
16-Oct-24,3.27561
17-Oct-24,3.27718
18-Oct-24,3.27956
19-Oct-24,3.28325
20-Oct-24,3.28308
21-Oct-24,3.27377
22-Oct-24,3.28403
23-Oct-24,3.2873
24-Oct-24,3.2935
25-Oct-24,3.28572
26-Oct-24,3.27863
27-Oct-24,3.27875
28-Oct-24,3.29215
29-Oct-24,3.29828
30-Oct-24,3.30913
31-Oct-24,3.3106
1-Nov-24,3.3049
2-Nov-24,3.29976
3-Nov-24,3.30053
4-Nov-24,3.31503
5-Nov-24,3.30459
6-Nov-24,3.30031
7-Nov-24,3.32269
8-Nov-24,3.30888
9-Nov-24,3.29926
10-Nov-24,3.29918
11-Nov-24,3.30772
12-Nov-24,3.30947
13-Nov-24,3.31764
14-Nov-24,3.32917
15-Nov-24,3.3294
16-Nov-24,3.32475
17-Nov-24,3.32489
18-Nov-24,3.33255
19-Nov-24,3.33779
20-Nov-24,3.32976
21-Nov-24,3.32102
22-Nov-24,3.31431
23-Nov-24,3.31704
24-Nov-24,3.31756
25-Nov-24,3.30973
26-Nov-24,3.30794
27-Nov-24,3.30765
28-Nov-24,3.30776
29-Nov-24,3.31322
30-Nov-24,3.3131
1-Dec-24,3.31307
2-Dec-24,3.31278
3-Dec-24,3.31957
4-Dec-24,3.3108
5-Dec-24,3.3008
6-Dec-24,3.29575
7-Dec-24,3.28795
8-Dec-24,3.28816
9-Dec-24,3.2985
10-Dec-24,3.29922
11-Dec-24,3.29642
12-Dec-24,3.29667
13-Dec-24,3.29836
14-Dec-24,3.29541
15-Dec-24,3.29551
16-Dec-24,3.29832
17-Dec-24,3.30177
18-Dec-24,3.30013
19-Dec-24,3.30802
20-Dec-24,3.31827
21-Dec-24,3.32113
22-Dec-24,3.32119
23-Dec-24,3.30887
24-Dec-24,3.29896
25-Dec-24,3.29557
26-Dec-24,3.28714
27-Dec-24,3.28951
28-Dec-24,3.28869
29-Dec-24,3.28878
30-Dec-24,3.28692
31-Dec-24,3.27787
