Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,IDR/MYR
2024-08-10,0.000276503
2024-08-09,0.000277888
2024-08-08,0.000280086
2024-08-07,0.000279394
2024-08-06,0.000276169
2024-08-05,0.000273094
2024-08-04,0.000276934
2024-08-03,0.000276891
2024-08-02,0.000277937
2024-08-01,0.000280569
2024-07-31,0.000282305
2024-07-30,0.000283196
2024-07-29,0.000284522
2024-07-28,0.000284499
2024-07-27,0.000284482
2024-07-26,0.000285529
2024-07-25,0.000286107
2024-07-24,0.000287609
2024-07-23,0.000287973
2024-07-22,0.000288541
2024-07-21,0.000288706
2024-07-20,0.000288703
2024-07-19,0.000288761
2024-07-18,0.000288339
2024-07-17,0.000289076
2024-07-16,0.000288684
2024-07-15,0.000288576
2024-07-14,0.000289570
2024-07-13,0.000289597
2024-07-12,0.000289565
2024-07-11,0.000290148
2024-07-10,0.000289474
2024-07-09,0.000289089
2024-07-08,0.000289222
2024-07-07,0.000289550
2024-07-06,0.000289554
2024-07-05,0.000288963
2024-07-04,0.000287989
2024-07-03,0.000288097
2024-07-02,0.000287817
2024-07-01,0.000287903
2024-06-30,0.000288192
2024-06-29,0.000288206
2024-06-28,0.000288062
2024-06-27,0.000287582
2024-06-26,0.000286518
2024-06-25,0.000286849
2024-06-24,0.000286946
2024-06-23,0.000285611
2024-06-22,0.000285604
2024-06-21,0.000285923
2024-06-20,0.000285770
2024-06-19,0.000287133
2024-06-18,0.000287182
2024-06-17,0.000286336
2024-06-16,0.000285728
2024-06-15,0.000285725
2024-06-14,0.000286642
2024-06-13,0.000289047
2024-06-12,0.000289866
2024-06-11,0.000289307
2024-06-10,0.000289279
2024-06-09,0.000287948
2024-06-08,0.000287952
2024-06-07,0.000288598
2024-06-06,0.000288486
2024-06-05,0.000287899
2024-06-04,0.000288743
2024-06-03,0.000289820
2024-06-02,0.000289267
2024-06-01,0.000289271
2024-05-31,0.000289243
2024-05-30,0.000289599
2024-05-29,0.000290013
2024-05-28,0.000291331
2024-05-27,0.000292275
2024-05-26,0.000293016
2024-05-25,0.000293011
2024-05-24,0.000293111
2024-05-23,0.000292639
2024-05-22,0.000292550
2024-05-21,0.000292921
2024-05-20,0.000292655
2024-05-19,0.000292942
2024-05-18,0.000292963
2024-05-17,0.000293204
2024-05-16,0.000293941
2024-05-15,0.000294011
2024-05-14,0.000292882
2024-05-13,0.000293891
2024-05-12,0.000294842
2024-05-11,0.000294843
2024-05-10,0.000295098
2024-05-09,0.000295104
2024-05-08,0.000294861
2024-05-07,0.000294812
2024-05-06,0.000295333
2024-05-05,0.000296232
2024-05-04,0.000296273
2024-05-03,0.000295379
2024-05-02,0.000294262
2024-05-01,0.000293361
2024-04-30,0.000293077
2024-04-29,0.000293474
2024-04-28,0.000293125
2024-04-27,0.000293113
2024-04-26,0.000293679
2024-04-25,0.000294799
2024-04-24,0.000294842
2024-04-23,0.000294816
2024-04-22,0.000294075
2024-04-21,0.000294386
2024-04-20,0.000294390
2024-04-19,0.000294113
2024-04-18,0.000294752
2024-04-17,0.000294614
2024-04-16,0.000294820
2024-04-15,0.000296710
2024-04-14,0.000295658
2024-04-13,0.000295672
2024-04-12,0.000295941
2024-04-11,0.000296573
2024-04-10,0.000298172
2024-04-09,0.000298699
2024-04-08,0.000298717
2024-04-07,0.000298564
2024-04-06,0.000298568
2024-04-05,0.000298662
2024-04-04,0.000297994
2024-04-03,0.000298092
2024-04-02,0.000298033
2024-04-01,0.000296618
2024-03-31,0.000297220
2024-03-30,0.000297243
2024-03-29,0.000297377
2024-03-28,0.000297878
2024-03-27,0.000297747
2024-03-26,0.000298383
2024-03-25,0.000299022
2024-03-24,0.000299214
2024-03-23,0.000299211
2024-03-22,0.000299515
2024-03-21,0.000300080
2024-03-20,0.000301100
2024-03-19,0.000300510
2024-03-18,0.000299980
2024-03-17,0.000300365
2024-03-16,0.000300392
2024-03-15,0.000302108
2024-03-14,0.000300154
2024-03-13,0.000300493
2024-03-12,0.000301104
2024-03-11,0.000301529
2024-03-10,0.000301237
2024-03-09,0.000301239
2024-03-08,0.000300965
2024-03-07,0.000300907
2024-03-06,0.000301238
2024-03-05,0.000300058
2024-03-04,0.000299988
2024-03-03,0.000301293
2024-03-02,0.000301286
2024-03-01,0.000301488
2024-02-29,0.000302064
2024-02-28,0.000303225
2024-02-27,0.000304524
2024-02-26,0.000305231
2024-02-25,0.000305981
2024-02-24,0.000305991
2024-02-23,0.000305954
2024-02-22,0.000306142
2024-02-21,0.000306181
2024-02-20,0.000305811
2024-02-19,0.000305724
2024-02-18,0.000304749
2024-02-17,0.000304761
2024-02-16,0.000305072
2024-02-15,0.000305642
2024-02-14,0.000305706
2024-02-13,0.000304612
2024-02-12,0.000305325
2024-02-11,0.000304776
2024-02-10,0.000304788
2024-02-09,0.000304114
2024-02-08,0.000303047
2024-02-07,0.000302232
2024-02-06,0.000302004
2024-02-05,0.000301484
2024-02-04,0.000299474
2024-02-03,0.000299475
2024-02-02,0.000300452
2024-02-01,0.000299915
2024-01-31,0.000299527
2024-01-30,0.000299030
2024-01-29,0.000298844
2024-01-28,0.000299208
2024-01-27,0.000299207
2024-01-26,0.000299127
2024-01-25,0.000298840
2024-01-24,0.000300847
2024-01-23,0.000301015
2024-01-22,0.000301490
2024-01-21,0.000301200
2024-01-20,0.000301203
2024-01-19,0.000301698
2024-01-18,0.000301650
2024-01-17,0.000301267
2024-01-16,0.000299573
2024-01-15,0.000299485
2024-01-14,0.000298215
2024-01-13,0.000298192
2024-01-12,0.000298310
2024-01-11,0.000298034
2024-01-10,0.000298209
2024-01-09,0.000298691
2024-01-08,0.000299520
2024-01-07,0.000299716
2024-01-06,0.000299716
2024-01-05,0.000299188
2024-01-04,0.000298305
2024-01-03,0.000297454
2024-01-02,0.000296932
2024-01-01,0.000298238

Period Average,0.000288071
Period Low,0.000268811
Period High,0.000306181
