Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,BND/MYR
2024-07-03,3.47946
2024-07-02,3.47443
2024-07-01,3.47363
2024-06-30,3.47693
2024-06-29,3.47673
2024-06-28,3.47605
2024-06-27,3.47453
2024-06-26,3.46930
2024-06-25,3.47471
2024-06-24,3.47908
2024-06-23,3.47360
2024-06-22,3.47350
2024-06-21,3.47760
2024-06-20,3.47949
2024-06-19,3.48327
2024-06-18,3.48429
2024-06-17,3.48683
2024-06-16,3.48246
2024-06-15,3.48251
2024-06-14,3.48316
2024-06-13,3.48669
2024-06-12,3.49393
2024-06-11,3.48646
2024-06-10,3.48547
2024-06-09,3.46763
2024-06-08,3.46777
2024-06-07,3.47904
2024-06-06,3.48482
2024-06-05,3.48464
2024-06-04,3.48705
2024-06-03,3.48646
2024-06-02,3.48142
2024-06-01,3.48155
2024-05-31,3.47999
2024-05-30,3.48143
2024-05-29,3.47993
2024-05-28,3.47956
2024-05-27,3.48161
2024-05-26,3.48388
2024-05-25,3.48393
2024-05-24,3.48596
2024-05-23,3.48205
2024-05-22,3.47621
2024-05-21,3.48009
2024-05-20,3.47771
2024-05-19,3.48190
2024-05-18,3.48200
2024-05-17,3.47880
2024-05-16,3.48326
2024-05-15,3.48965
2024-05-14,3.48919
2024-05-13,3.49648
2024-05-12,3.49577
2024-05-11,3.49580
2024-05-10,3.49844
2024-05-09,3.49808
2024-05-08,3.49655
2024-05-07,3.50002
2024-05-06,3.50601
2024-05-05,3.50944
2024-05-04,3.50973
2024-05-03,3.50580
2024-05-02,3.50212
2024-05-01,3.49385
2024-04-30,3.49789
2024-04-29,3.50441
2024-04-28,3.49615
2024-04-27,3.49594
2024-04-26,3.50278
2024-04-25,3.51177
2024-04-24,3.50800
2024-04-23,3.50696
2024-04-22,3.50735
2024-04-21,3.50765
2024-04-20,3.50742
2024-04-19,3.50803
2024-04-18,3.51046
2024-04-17,3.51419
2024-04-16,3.50705
2024-04-15,3.50682
2024-04-14,3.50155
2024-04-13,3.50134
2024-04-12,3.50805
2024-04-11,3.50624
2024-04-10,3.51774
2024-04-09,3.52607
2024-04-08,3.52224
2024-04-07,3.51697
2024-04-06,3.51711
2024-04-05,3.51686
2024-04-04,3.51528
2024-04-03,3.51820
2024-04-02,3.51254
2024-04-01,3.49813
2024-03-31,3.49481
2024-03-30,3.49423
2024-03-29,3.50016
2024-03-28,3.50531
2024-03-27,3.50801
2024-03-26,3.50801
2024-03-25,3.50930
2024-03-24,3.50840
2024-03-23,3.50850
2024-03-22,3.51177
2024-03-21,3.51293
2024-03-20,3.52778
2024-03-19,3.52444
2024-03-18,3.52153
2024-03-17,3.51410
2024-03-16,3.51412
2024-03-15,3.53133
2024-03-14,3.51140
2024-03-13,3.51301
2024-03-12,3.51178
2024-03-11,3.51802
2024-03-10,3.51829
2024-03-09,3.51837
2024-03-08,3.51829
2024-03-07,3.52521
2024-03-06,3.52856
2024-03-05,3.52054
2024-03-04,3.51585
2024-03-03,3.52761
2024-03-02,3.52757
2024-03-01,3.52284
2024-02-29,3.53074
2024-02-28,3.53883
2024-02-27,3.54839
2024-02-26,3.55107
2024-02-25,3.55347
2024-02-24,3.55353
2024-02-23,3.55393
2024-02-22,3.55894
2024-02-21,3.56657
2024-02-20,3.56130
2024-02-19,3.55373
2024-02-18,3.54488
2024-02-17,3.54477
2024-02-16,3.54729
2024-02-15,3.54783
2024-02-14,3.54216
2024-02-13,3.53325
2024-02-12,3.54160
2024-02-11,3.53572
2024-02-10,3.53568
2024-02-09,3.53261
2024-02-08,3.52661
2024-02-07,3.52675
2024-02-06,3.53742
2024-02-05,3.52846
2024-02-04,3.50907
2024-02-03,3.50914
2024-02-02,3.52414
2024-02-01,3.52917
2024-01-31,3.52838
2024-01-30,3.52755
2024-01-29,3.52676
2024-01-28,3.52171
2024-01-27,3.52176
2024-01-26,3.52498
2024-01-25,3.52703
2024-01-24,3.53074
2024-01-23,3.52494
2024-01-22,3.51979
2024-01-21,3.51245
2024-01-20,3.51246
2024-01-19,3.51304
2024-01-18,3.50754
2024-01-17,3.50514
2024-01-16,3.49265
2024-01-15,3.49613
2024-01-14,3.48677
2024-01-13,3.48694
2024-01-12,3.48834
2024-01-11,3.48731
2024-01-10,3.48620
2024-01-09,3.49008
2024-01-08,3.49611
2024-01-07,3.49801
2024-01-06,3.49804
2024-01-05,3.49229
2024-01-04,3.48663
2024-01-03,3.48087
2024-01-02,3.47367
2024-01-01,3.47870

Period Average,3.41989
Period Low,3.20934
Period High,3.56657
